DATE,EFFR
1/27/2020,1.55
1/28/2020,1.55
1/29/2020,1.55
1/30/2020,1.6
1/31/2020,1.59
2/3/2020,1.59
2/4/2020,1.59
2/5/2020,1.59
2/6/2020,1.59
2/7/2020,1.58
2/10/2020,1.58
2/11/2020,1.58
2/12/2020,1.58
2/13/2020,1.58
2/14/2020,1.58
2/17/2020,.
2/18/2020,1.59
2/19/2020,1.59
2/20/2020,1.59
2/21/2020,1.58
2/24/2020,1.58
2/25/2020,1.58
2/26/2020,1.58
2/27/2020,1.58
2/28/2020,1.58
3/2/2020,1.59
3/3/2020,1.59
3/4/2020,1.09
3/5/2020,1.09
3/6/2020,1.09
3/9/2020,1.09
3/10/2020,1.09
3/11/2020,1.09
3/12/2020,1.1
3/13/2020,1.1
3/16/2020,0.25
3/17/2020,0.25
3/18/2020,0.25
3/19/2020,0.2
3/20/2020,0.15
3/23/2020,0.15
3/24/2020,0.12
3/25/2020,0.1
3/26/2020,0.1
3/27/2020,0.1
3/30/2020,0.09
3/31/2020,0.08
4/1/2020,0.06
4/2/2020,0.05
4/3/2020,0.05
4/6/2020,0.05
4/7/2020,0.05
4/8/2020,0.05
4/9/2020,0.05
4/10/2020,0.05
4/13/2020,0.05
4/14/2020,0.05
4/15/2020,0.05
4/16/2020,0.05
4/17/2020,0.05
4/20/2020,0.05
4/21/2020,0.05
